Degraded,MOS_pred
mcmurray02-20090312-joh_b0292_delay_300_jitter_5_plr_3_evs.png,4.0385942
LunaTick-20080326-cc_cc-18_delay_300_jitter_5_plr_3_opus.png,3.7968702
neuralnet-20080702-jvy_b0360_delay_50_jitter_1_plr_5_opus.png,3.1758738
anonymous-20141225-jpm_a0261_delay_300_jitter_10_plr_1_evs.png,3.8578725
anonymous-20100821-ril_b0238_delay_50_jitter_1_plr_1_opus.png,3.954213
MSypkensSmit-20080803-rjg_a0049_delay_300_jitter_10_plr_1_evs.png,3.3122692
ralfherzog-20071014-en14_en14-35_delay_100_jitter_5_plr_5_opus.png,3.7897575
rjmunro-20090213-xte_rp-29_delay_50_jitter_1_plr_3_opus.png,3.8991187
akiplaner-20091214-xat_b0507_delay_300_jitter_10_plr_5_opus.png,3.0815444
anonymous-20130902-ddm_a0355_delay_50_jitter_10_plr_5_evs.png,4.2314076
royerfa-20080305_vf5-3_delay_50_jitter_10_plr_3_evs.png,3.6363635
tomhannen-20080411-ely_a0070_delay_300_jitter_5_plr_1_opus.png,3.3516674
AlexanderHenningDrachmann-20140108-sju_a0472_delay_300_jitter_1_plr_3_opus.png,3.9904008
ralfherzog-20070923-en8_en8-172_delay_300_jitter_10_plr_5_opus.png,4.133333
robin-20070326-vf15_vf15-35_delay_100_jitter_5_plr_3_opus.png,3.07925
bhuvan-20091111-cil_b0502_delay_300_jitter_10_plr_1_opus.png,4.0030956
anonymous-20080904-qzg_a0007_delay_300_jitter_10_plr_1_opus.png,3.1090736
anonymous-20120202-wod_b0271_delay_50_jitter_5_plr_3_evs.png,3.5019226
ramgarden-20130503-wvr_b0445_delay_50_jitter_10_plr_5_opus.png,2.544972
jfd3220-20120322-fqc_rb-14_delay_50_jitter_1_plr_3_opus.png,3.8008196
ojfl-20080303-qrb_a0505_delay_50_jitter_10_plr_5_opus.png,3.9493942
ralfherzog-20080315-en61_en61-02_delay_50_jitter_10_plr_3_evs.png,3.8703127
LunaTick-20080321-ass_rb-30_delay_50_jitter_10_plr_1_opus.png,3.098027
atterer-21012007-vf22_vf22-08_delay_300_jitter_10_plr_5_evs.png,2.6473646
robin-20070402-vf20_vf20-13_delay_50_jitter_1_plr_5_evs.png,3.9858706
yebbey-20090217-das_a0396_delay_300_jitter_5_plr_1_evs.png,3.0205336
mfread-10112006-5_a0041_delay_50_jitter_5_plr_5_evs.png,3.3384128
jaiger-vf20-20070220_vf20-07_delay_300_jitter_1_plr_5_opus.png,3.5468647
stephsphynx-20080829-ezq_rb-12_delay_100_jitter_1_plr_3_evs.png,4.288395
anonymous-20081025-crv_a0070_delay_300_jitter_1_plr_1_evs.png,3.1415846
royerfa-20080305-tst_test16_delay_100_jitter_5_plr_1_opus.png,2.9287043
farmerjack-20080915-zqg_a0114_delay_300_jitter_10_plr_3_opus.png,2.8890078
douglaid-20080205_vf5-16_delay_50_jitter_10_plr_1_evs.png,3.2605202
ralfherzog-20071126-en24_en24-92_delay_300_jitter_10_plr_3_opus.png,3.2649128
anonymous-20090717-rti_a0169_delay_300_jitter_1_plr_1_evs.png,3.0961385
ralfherzog-20071205-en29_en29-64_delay_50_jitter_10_plr_1_opus.png,2.7505
tomhannen-20080409_cc-30_delay_50_jitter_10_plr_1_opus.png,3.631937
ralfherzog-20071207-en32_en32-43_delay_100_jitter_5_plr_1_opus.png,3.6011915
anonymous-20100821-nat_b0347_delay_300_jitter_5_plr_1_opus.png,4.0658803
anonymous-20120622-eyp_a0398_delay_50_jitter_5_plr_5_opus.png,4.0819573
douglaid-20080801_vf13-8_delay_100_jitter_1_plr_5_evs.png,2.9254274
glenton-20090924-plp_a0496_delay_100_jitter_10_plr_5_opus.png,3.1602025
unbridledrage-20090106-clj_b0180_delay_50_jitter_1_plr_5_opus.png,4.095086
rusty-10132006_a0481_delay_100_jitter_10_plr_5_evs.png,3.058248
mariodsantana-20090427-puq_b0092_delay_300_jitter_10_plr_1_opus.png,3.9400547
ralfherzog-20080316-en62_en62-87_delay_50_jitter_1_plr_5_opus.png,3.5198894
anonymous-20120922-ydr_a0244_delay_300_jitter_1_plr_3_opus.png,3.6964202
tomhannen-20080410-nrf_b0392_delay_300_jitter_10_plr_1_opus.png,3.9655247
yanlongwang-20090706-egd_a0287_delay_300_jitter_10_plr_1_opus.png,2.8925211
jlrice9673-20090625-xai_a0056_delay_300_jitter_5_plr_5_opus.png,3.9119701
ralfherzog-20071126-en24_en24-09_delay_300_jitter_5_plr_5_evs.png,2.6183193
wicke-20071121_vf21-19_delay_300_jitter_1_plr_1_opus.png,3.7627811
anonymous-20111029-htk_b0431_delay_100_jitter_10_plr_1_opus.png,3.3237371
anonymous-20100922-aov_a0135_delay_300_jitter_5_plr_5_evs.png,4.091499
seanchan-20090715-nlm_b0341_delay_300_jitter_1_plr_3_opus.png,3.6724796
ralfherzog-20071001-en10_en10-125_delay_50_jitter_10_plr_1_opus.png,3.4369786
anonymous-20150201-bmx_a0026_delay_300_jitter_10_plr_3_opus.png,3.783292
spych102-20120324-ijm_b0502_delay_50_jitter_10_plr_1_opus.png,3.6116362
anonymous-20090117-mam_a0290_delay_100_jitter_10_plr_3_opus.png,3.0795848
robin-20070224-vf4_vf04-18_delay_50_jitter_1_plr_3_evs.png,3.869084
robertburrelldonkin-20070905-vf4_vf4-11_delay_300_jitter_5_plr_3_evs.png,2.669042
anonymous-20100605-txe_b0386_delay_300_jitter_10_plr_5_evs.png,2.4825613
sunjun-20121004-jmk_a0506_delay_100_jitter_5_plr_1_opus.png,4.0537777
ralfherzog-20071212-en37_en37-05_delay_100_jitter_1_plr_3_evs.png,2.5919046
douglaid-20080204_vf4-40_delay_300_jitter_10_plr_5_opus.png,2.8911119
doublesfrogs-20150224-snv_b0384_delay_300_jitter_1_plr_5_evs.png,4.20634
farmerjack-20080827-oaj_a0483_delay_300_jitter_10_plr_3_opus.png,3.0181978
itricker-20110528-pjs_b0197_delay_300_jitter_5_plr_1_opus.png,4.0381002
ralfherzog-20071028-en15_en15-051_delay_300_jitter_5_plr_1_opus.png,4.338086
anonymous-20110327-zcp_a0143_delay_100_jitter_10_plr_5_evs.png,3.4425333
Cesy-20110904-nsb_b0002_delay_300_jitter_10_plr_3_opus.png,3.7776167
anonymous-20091102-qlq_b0252_delay_300_jitter_10_plr_1_evs.png,2.9243233
anonymous-20130512-vxo_a0591_delay_300_jitter_5_plr_5_evs.png,3.688443
laserbeams-20081202-yya_b0230_delay_300_jitter_5_plr_1_evs.png,3.4987297
pkkikibig-20100105-xib_a0267_delay_300_jitter_10_plr_1_evs.png,3.8900287
corno1979-10102006-NR_cc001_delay_300_jitter_10_plr_5_evs.png,4.232405
akiplaner-20100215-cot_a0291_delay_300_jitter_1_plr_5_opus.png,3.135478
bjb-20120317_vf13-23_delay_100_jitter_5_plr_5_evs.png,3.66783
ts87-20090126-iop_a0171_delay_100_jitter_5_plr_3_opus.png,3.8168788
davidjamesmcdermott-20100109-zvn_ar-23_delay_50_jitter_10_plr_1_evs.png,2.9866273
aileen-20080831-iqs_a0033_delay_50_jitter_1_plr_5_opus.png,2.9589365
bjb-20120324_vf16-25_delay_50_jitter_1_plr_3_opus.png,3.4696388
pmahoney-10102006_cc003_delay_50_jitter_1_plr_5_evs.png,3.2171469
anonymous-20120302-zyn_a0341_delay_100_jitter_10_plr_3_opus.png,3.6033583
taslack-20090114-mfh_rp-30_delay_50_jitter_10_plr_1_opus.png,3.731998
dw96-20110529-xqk_b0076_delay_300_jitter_10_plr_1_evs.png,3.4066005
paddy-20080911-txn_b0286_delay_50_jitter_1_plr_3_evs.png,4.1019144
scotsabe-20120910-pwc_a0586_delay_100_jitter_10_plr_1_evs.png,3.4099696
emiliaserv-20120204-sjh_a0257_delay_100_jitter_10_plr_1_opus.png,3.6024582
royerfa-20080309_vf10-34_delay_300_jitter_10_plr_1_opus.png,3.23351
juan-20120518-ary_a0162_delay_50_jitter_10_plr_5_opus.png,2.983681
jaiger-11282006_vf01-32_delay_100_jitter_5_plr_5_evs.png,4.19865
AlexanderHenningDrachmann-20140108-vul_b0002_delay_100_jitter_5_plr_3_evs.png,2.826598
anonymous-20110203-grf_rp-10_delay_100_jitter_10_plr_5_evs.png,3.8526065
anonymous-20091226-euf_b0505_delay_300_jitter_1_plr_1_opus.png,3.2950597
robin-20070217-vf3_vf3-35_delay_50_jitter_5_plr_5_opus.png,3.6802866
soulphox-20100203-mmg_a0324_delay_100_jitter_5_plr_5_opus.png,3.863325
bonzer-20090919-oxm_b0453_delay_100_jitter_10_plr_3_opus.png,3.7991312
rusty-10132006_a0493_delay_50_jitter_1_plr_5_opus.png,3.6558924
SohumB-20100821-pkj_a0016_delay_300_jitter_1_plr_3_opus.png,3.7409563
anonymous-20080713-hdg_b0214_delay_100_jitter_10_plr_3_evs.png,3.6269343
bugsysservant-20091103-uhs_b0111_delay_100_jitter_10_plr_5_evs.png,2.7688959
robertburrelldonkin-20070905-vf5_vf5-28_delay_300_jitter_10_plr_3_evs.png,3.5519874
anonymous-20100111-mre_a0411_delay_100_jitter_5_plr_5_opus.png,3.0604942
pcsnpny-20150205-xfb_b0023_delay_50_jitter_1_plr_3_opus.png,3.6058812
ralfherzog-20071126-en22_en22-30_delay_100_jitter_1_plr_1_evs.png,3.1468031
anonymous-20110520-mbm_a0261_delay_100_jitter_10_plr_1_evs.png,3.763347
k-20090202-svq_b0175_delay_300_jitter_5_plr_3_evs.png,3.7106647
anonymous-20110406-xft_b0534_delay_300_jitter_1_plr_1_opus.png,3.370398
trimbak-20100315-yia_b0301_delay_100_jitter_5_plr_3_evs.png,3.1156373
bugsysservant-20091103-cob_b0082_delay_100_jitter_10_plr_1_opus.png,4.021685
BruceCouper-20080305-yre_a0287_delay_300_jitter_10_plr_5_opus.png,3.3396745
hh00010-20130517-apc_a0319_delay_100_jitter_10_plr_5_evs.png,3.486926
d1-20111214-eip_rb-23_delay_100_jitter_10_plr_3_opus.png,3.195578
Luca-20091217-zis_rp-14_delay_300_jitter_5_plr_5_opus.png,3.855881
anonymous-20131204-meo_a0187_delay_300_jitter_1_plr_5_opus.png,3.005435
anonymous-20101029-tkv_b0480_delay_50_jitter_5_plr_1_evs.png,2.6171787
SteliosKoroneos-20090926-xos_a0131_delay_100_jitter_5_plr_1_opus.png,2.7976131
mahasamoot-20070719-ar_ar-09_delay_100_jitter_5_plr_1_evs.png,3.8932421
anonymous-20090914-fee_a0094_delay_100_jitter_1_plr_1_evs.png,4.069995
anonymous-20160425-nra_e0447_delay_50_jitter_1_plr_5_opus.png,4.0729012
bhart-20100106-pvf_a0059_delay_100_jitter_5_plr_3_evs.png,2.8788116
farmerjack-20080917-dek_b0429_delay_50_jitter_10_plr_3_opus.png,3.2964172
atterer-01202007-b_vf21-14_delay_100_jitter_10_plr_5_opus.png,3.8467133
anonymous-20081209-vqq_b0228_delay_50_jitter_5_plr_5_opus.png,2.9609058
k-20090202-bzc_b0235_delay_300_jitter_5_plr_3_opus.png,3.2457652
jlam-20120411-vlr_a0420_delay_300_jitter_10_plr_5_opus.png,3.685955
tb-20110210-gnr_b0438_delay_300_jitter_5_plr_5_opus.png,3.2290215
amolmg-01202009_sample15_delay_300_jitter_10_plr_1_opus.png,3.424953
soulphox-20100120-oau_a0425_delay_50_jitter_5_plr_1_evs.png,3.5144305
anonymous-20170122-vnj_rp-02_delay_300_jitter_5_plr_3_evs.png,4.0484853
joehms22-20131229-dtf_a0499_delay_50_jitter_5_plr_1_evs.png,3.9864051
douglawson-20120814-xdk_a0293_delay_50_jitter_5_plr_3_opus.png,3.8074038
bonzer-20090919-hhb_a0279_delay_300_jitter_10_plr_3_evs.png,3.4148667
robertburrelldonkin-20070902-cc_cc-04_delay_100_jitter_5_plr_5_opus.png,3.7911725
grep-20120522-gjx_b0207_delay_300_jitter_1_plr_3_evs.png,3.059231
kenanbit-20130805-rrp_b0437_delay_300_jitter_10_plr_1_evs.png,3.519152
bjb-20120217_vf31-19_delay_100_jitter_5_plr_1_opus.png,3.831177
bunninmonkey-20150904-xup_b0477_delay_50_jitter_10_plr_1_opus.png,3.815639
Q-20150514-ero_b0538_delay_50_jitter_5_plr_3_opus.png,3.625294
halespawn-20090430-lzk_b0325_delay_100_jitter_10_plr_5_evs.png,2.4759665
ralfherzog-20070903-en2_en2-151_delay_100_jitter_5_plr_5_evs.png,4.0053124
k-20090202-csh_b0227_delay_50_jitter_10_plr_3_evs.png,3.2678454
ivanko-20100821-yok_a0105_delay_100_jitter_1_plr_3_evs.png,3.2263832
craig61107-20130902-rzx_a0067_delay_50_jitter_1_plr_5_opus.png,3.5912774
ralfherzog-20071126-en25_en25-71_delay_300_jitter_5_plr_3_evs.png,3.4119952
anonymous-20090709-jol_b0491_delay_100_jitter_1_plr_3_evs.png,4.0198326
dsnyder-20080620-hhc_a0292_delay_50_jitter_5_plr_5_opus.png,3.6904864
ralfherzog-20071010-en12_en12-134_delay_100_jitter_1_plr_3_evs.png,2.9958892
anonymous-20120615-een_a0495_delay_100_jitter_5_plr_1_opus.png,2.8938577
sponsellerfd-20100909-smq_a0448_delay_300_jitter_10_plr_3_opus.png,3.063588
anonymous-20120609-luo_b0360_delay_100_jitter_5_plr_1_evs.png,3.7178156
dw96-20110530-sht_b0180_delay_50_jitter_5_plr_5_evs.png,3.7789936
anonymous-20120922-ydr_a0249_delay_300_jitter_10_plr_1_opus.png,4.353413
mahadev-20140526-iin_a0217_delay_300_jitter_5_plr_5_opus.png,3.323767
secrethotline-20081130-vsl_b0408_delay_300_jitter_5_plr_1_evs.png,3.3700933
anonymous-20120810-nuq_a0096_delay_100_jitter_10_plr_3_opus.png,3.1116314
anonymous-20100515-osz_a0512_delay_50_jitter_1_plr_3_evs.png,3.8049908
anonymous-20130626-ulm_a0418_delay_50_jitter_10_plr_1_evs.png,3.0286007
teeks99-20090406-xae_b0116_delay_50_jitter_5_plr_5_opus.png,3.658354
phil-20080215-vej_a0439_delay_100_jitter_5_plr_1_evs.png,3.5551524
rharrison-20090911-frt_b0142_delay_50_jitter_1_plr_1_evs.png,3.6463876
ralfherzog-20070827_vf24_vf24-13_delay_50_jitter_10_plr_5_evs.png,3.7835438
pcsnpny-20150321-uif_a0580_delay_100_jitter_1_plr_1_opus.png,3.2350538
LunaTick-20080410-vf4_vf4-40_delay_50_jitter_10_plr_3_opus.png,3.861279
anonymous-20101214-naa_b0047_delay_100_jitter_10_plr_3_opus.png,4.2102785
anonymous-20111230-vmk_b0482_delay_300_jitter_5_plr_3_evs.png,3.265847
anonymous-20100320-pvf_b0529_delay_300_jitter_10_plr_5_evs.png,3.7338574
anonymous-20081014-kvt_a0278_delay_300_jitter_5_plr_1_evs.png,2.9182532
TamerTimo-20170702-bfi_en-0955_delay_300_jitter_10_plr_5_opus.png,3.7935073
anonymous-20101224-lxx_a0069_delay_50_jitter_5_plr_5_opus.png,3.2435966
Brittishenglishscottish20yomale-20091005-nty_b0117_delay_100_jitter_10_plr_3_evs.png,2.939204
dvratil-20130728-gjw_a0372_delay_100_jitter_5_plr_3_evs.png,3.3413231
anonymous-20100822-smo_rp-09_delay_300_jitter_1_plr_3_evs.png,3.3380082
anonymous-20111028-wrq_b0202_delay_50_jitter_5_plr_3_evs.png,3.341276
ralfherzog-20070913-vf27_vf27-40_delay_300_jitter_5_plr_5_evs.png,3.295097
Perygryne-20101224-ibw_b0089_delay_100_jitter_10_plr_5_opus.png,3.6565533
tsmock-20121014-uyq_b0090_delay_50_jitter_10_plr_5_opus.png,2.829981
apdsqueaky-20151112-xve_b0115_delay_100_jitter_5_plr_1_evs.png,4.0023565
Flowerbot-20111128-lha_b0492_delay_100_jitter_1_plr_3_opus.png,3.0159965
jtmiles-20090618-ton_a0064_delay_100_jitter_5_plr_5_opus.png,2.899341
ralfherzog-20071215-en39_en39-47_delay_50_jitter_10_plr_3_opus.png,3.2568471
anonymous-20110303-yst_b0165_delay_50_jitter_1_plr_5_opus.png,3.9283621
robertburrelldonkin-20070906-vf7_vf7-21_delay_50_jitter_5_plr_1_opus.png,3.9733233
tinyMrChaos-20130731-zuh_b0457_delay_50_jitter_5_plr_3_evs.png,3.639129
anonymous-20081027-okq_b0241_delay_300_jitter_1_plr_1_evs.png,4.2570825
corno1979-10102006_cc024_delay_100_jitter_1_plr_3_evs.png,2.8963504
